"rank","name","usps","pop2022","pop2020","growth","density","aland_sqmi"
"139","Providence","RI","193512","190934","0.0135","10514","18.4060"
"140","Knoxville","TN","193114","190740","0.0124","1956","98.7130"
"141","Brownsville","TX","189082","186738","0.0126","1429","132.3220"
"142","Akron","OH","188741","190469","-0.0091","3048","61.9330"
"143","Newport News","VA","187353","186247","0.0059","2716","68.9920"
"144","Fort Lauderdale","FL","186208","182760","0.0189","5384","34.5860"
"145","Mobile","AL","185427","187041","-0.0086","1330","139.4650"
"146","Shreveport","LA","185249","187593","-0.0125","1725","107.3610"
"147","Paradise","NV","184852","191238","-0.0334","3956","46.7320"
"148","Tempe","AZ","184361","180587","0.0209","4612","39.9770"
"149","Chattanooga","TN","183783","181099","0.0148","1286","142.9630"
"150","Cary","NC","182619","174721","0.0452","3110","58.7250"
"151","Eugene","OR","180748","176654","0.0232","4095","44.1380"
"152","Elk Grove","CA","180746","176124","0.0262","4300","42.0330"
"153","Santa Rosa","CA","180189","178127","0.0116","4238","42.5190"
"154","Salem","OR","179715","175535","0.0238","3691","48.6910"
"155","Ontario","CA","177533","175265","0.0129","3553","49.9630"
"156","Aurora","IL","177070","180542","-0.0192","3934","45.0090"
"157","Lancaster","CA","176892","173516","0.0195","1876","94.2810"
"158","Rancho Cucamonga","CA","176289","174453","0.0105","4394","40.1170"
"159","Oceanside","CA","175464","174068","0.0080","4253","41.2560"
"160","Fort Collins","CO","174974","169810","0.0304","3060","57.1820"
"161","Pembroke Pines","FL","174464","171178","0.0192","5340","32.6730"
"162","Clarksville","TN","173480","166722","0.0405","1756","98.7960"
"163","Palmdale","CA","172790","169450","0.0197","1629","106.0760"
"164","Garden Grove","CA","172163","171949","0.0012","9588","17.9570"
"165","Springfield","MO","171112","169176","0.0114","2077","82.3920"
"166","Hayward","CA","166708","162954","0.0230","3661","45.5370"
"167","Salinas","CA","166162","163542","0.0160","7092","23.4280"
"168","Alexandria","VA","163367","159467","0.0245","10939","14.9340"
"169","Paterson","NJ","162438","159732","0.0169","19308","8.4130"
"170","Murfreesboro","TN","161571","152769","0.0576","2618","61.7090"
"171","Bayamon","PR","161242","165368","-0.0250","5977","26.9780"
"172","Sunnyvale","CA","158949","155805","0.0202","7215","22.0300"
"173","Kansas City","KS","158771","156607","0.0138","1272","124.8150"
"174","Lakewood","CO","158584","155984","0.0167","3684","43.0470"
"175","Killeen","TX","158129","153095","0.0329","2899","54.5450"
"176","Corona","CA","158088","157136","0.0061","3954","39.9860"
"177","Bellevue","WA","157752","151854","0.0388","4715","33.4610"
"178","Springfield","MA","156503","155929","0.0037","4911","31.8690"
"179","Charleston","SC","156255","150227","0.0401","1413","110.5540"
"180","Hollywood","FL","155527","153067","0.0161","5703","27.2690"
"181","Roseville","CA","153569","147773","0.0392","3484","44.0790"
"182","Pasadena","TX","152532","151950","0.0038","3500","43.5860"
"183","Escondido","CA","152464","151038","0.0094","4086","37.3140"
"184","Pomona","CA","152245","151713","0.0035","6625","22.9820"
"185","Mesquite","TX","152164","150108","0.0137","3220","47.2520"
"186","Naperville","IL","151078","149540","0.0103","3893","38.8110"
"187","Joliet","IL","150948","150362","0.0039","2353","64.1520"
"188","Savannah","GA","150078","147780","0.0156","1444","103.9100"
"189","Jackson","MS","149739","153701","-0.0258","1348","111.0860"
"190","Bridgeport","CT","149538","148654","0.0059","9309","16.0640"
"191","Syracuse","NY","149310","148620","0.0046","5965","25.0300"
"192","Surprise","AZ","148274","143148","0.0358","1372","108.0630"
"193","Rockford","IL","147811","148655","-0.0057","2296","64.3790"
"194","Torrance","CA","147393","147067","0.0022","7183","20.5210"
"195","Thornton","CO","146487","141867","0.0326","4081","35.8910"
"196","Kent","WA","145424","136588","0.0647","4309","33.7500"
"197","Fullerton","CA","145309","143617","0.0118","6478","22.4310"
"198","Denton","TX","145167","139869","0.0379","1508","96.2360"
"199","Visalia","CA","144772","141384","0.0240","3817","37.9240"
"200","McAllen","TX","144676","142210","0.0173","2202","65.6980"
